total_meters,price,floor,floors_count,rooms_count,location,district,underground
38.0,13250000,6,16,1,1,65,135
33.4,11850000,5,9,1,1,39,158
38.0,9400000,10,17,1,1,2,2
35.6,11450000,12,14,1,1,75,126
38.9,9000000,4,8,1,1,12,48
32.7,8900000,6,9,1,1,57,159
43.7,18500000,20,32,1,1,8,70
36.0,9990000,10,12,1,1,55,51
33.0,15900000,7,11,1,1,96,74
37.8,15500000,5,14,1,1,103,159
38.8,11700000,3,14,1,1,35,40
38.0,18300000,5,32,1,1,1,92
30.0,10900000,1,8,1,1,108,172
39.0,11500000,5,14,1,1,31,173
41.1,13400000,5,22,1,1,12,48
36.0,12850000,22,32,1,1,66,174
35.7,12500000,9,25,1,1,82,157
35.8,12900000,5,17,1,1,109,111
36.0,11800000,8,12,1,1,63,38
32.7,9300000,6,12,1,1,15,175
41.4,22200000,8,23,1,1,29,166
33.0,9495000,1,12,1,1,76,21
42.3,15290000,13,16,1,1,52,59
17.0,10790000,2,5,1,1,29,176
39.0,10500000,17,17,1,1,89,127
13.3,4287787,2,6,1,1,76,21
32.0,9500000,5,9,1,1,52,59
31.2,13690000,7,9,1,1,27,32
32.0,15999999,6,12,1,1,26,31
34.6,11500000,6,16,1,1,17,18
33.3,11800000,12,25,1,1,12,177
32.0,9800000,3,9,1,1,84,104
45.0,21500000,5,33,1,1,48,6
35.2,9600000,3,16,1,1,12,48
43.0,14500000,5,9,1,1,98,154
37.0,14600000,4,18,1,1,23,114
31.8,12350000,10,33,1,1,53,129
34.9,8700000,1,16,1,1,60,48
32.6,9950000,4,9,1,1,15,16
46.0,21700000,7,8,1,1,38,34
47.0,13000000,10,19,1,1,28,33
44.0,14250000,3,19,1,1,98,154
32.8,18800000,2,10,1,1,104,165
37.0,13700000,13,14,1,1,90,118
47.7,15490000,5,17,1,1,101,4
42.5,26000000,3,22,1,1,29,166
38.4,14900000,15,16,1,1,47,128
42.0,18000000,3,15,1,1,88,116
43.0,30999999,2,24,1,1,7,64
31.0,12000000,4,9,1,1,20,21
38.5,27900000,18,24,1,1,29,34
35.2,14000000,12,12,1,1,110,149
42.2,18900000,21,29,1,1,111,108
41.0,14950000,1,30,1,1,67,61
50.3,32900000,4,32,1,1,29,34
45.2,21000000,11,23,1,1,22,97
31.0,10999950,8,8,1,1,97,178
43.5,24500000,11,13,1,1,22,74
36.3,10496388,19,25,1,1,2,2
41.3,11314272,17,25,1,1,2,2
41.0,11600000,11,20,1,1,10,11
46.5,19170000,13,25,1,1,11,50
38.0,11500000,8,12,1,1,102,179
38.6,27400000,8,9,1,1,22,28
37.1,10500000,6,14,1,1,49,55
35.2,10800000,1,12,1,1,112,11
38.1,11400000,16,17,1,1,6,26
32.0,11500000,4,9,1,1,34,39
30.4,15500000,1,5,1,1,106,180
34.0,15500000,21,24,1,1,57,159
42.1,15700000,10,14,1,1,47,45
38.9,21650000,11,19,1,1,59,71
38.0,22210000,14,16,1,1,95,72
47.0,22990000,14,15,1,1,7,7
40.7,25490000,22,26,1,1,50,56
43.0,28950000,8,8,1,1,40,181
34.0,9200000,5,9,1,1,73,153
32.0,11700000,7,9,1,1,56,138
39.2,9200000,6,12,1,1,4,77
30.0,13600000,1,9,1,1,43,181
28.8,13700000,3,5,1,1,16,144
44.0,11899000,17,18,1,1,57,159
45.0,16600000,3,14,1,1,58,41
35.9,9600000,4,17,1,1,87,182
38.8,11499998,17,22,1,1,66,13
38.0,15200000,7,22,1,1,65,135
31.8,10000000,3,5,1,1,49,55
33.0,13200000,8,9,1,1,43,86
34.0,12500000,20,33,1,1,11,183
36.8,10490000,8,14,1,1,84,111
33.0,11999999,6,8,1,1,3,133
32.5,10850000,8,9,1,1,96,119
38.4,11600000,9,12,1,1,72,184
41.0,10400000,14,14,1,1,28,33
33.0,9399999,4,9,1,1,65,135
34.3,11000000,4,19,1,1,98,154
41.7,12150000,10,14,1,1,74,185
30.4,13500000,5,5,1,1,1,186
38.0,10500000,3,16,1,1,72,93
34.8,9250000,6,9,1,1,61,15
38.9,12750000,3,17,1,1,12,100
35.8,16500000,1,16,1,1,106,187
40.0,16450000,8,19,1,1,109,188
37.5,11300000,1,16,1,1,41,151
32.3,10400000,1,5,1,1,88,116
42.0,11999999,3,16,1,1,71,49
15.5,12500000,22,22,1,1,5,5
35.4,11350000,12,14,1,1,84,111
35.2,11500000,11,14,1,1,32,189
32.0,12150000,7,22,1,1,71,15
35.2,12550000,20,22,1,1,71,49
42.0,10700000,5,9,1,1,102,164
33.5,12300000,8,22,1,1,71,49
32.6,10500000,7,17,1,1,2,2
39.0,10990000,14,17,1,1,10,190
39.3,9300000,1,17,1,1,28,33
45.2,13700000,20,33,1,1,25,54
46.7,14900000,17,33,1,1,112,191
34.8,12799000,8,9,1,1,59,71
35.0,9500000,3,8,1,1,73,159
42.2,7999999,9,17,1,1,25,53
37.1,14500000,8,30,1,1,3,58
31.7,16249000,1,12,1,1,105,192
48.0,14800000,2,26,1,1,25,54
34.0,10999000,3,9,1,1,91,124
33.0,10250000,3,9,1,1,113,193
30.8,10000000,5,9,1,1,61,15
33.0,10100000,2,12,1,1,73,153
49.2,16800000,18,20,1,1,33,87
30.0,16000000,3,25,1,1,21,22
33.0,11500000,6,9,1,1,11,50
32.3,12599000,3,9,1,1,114,48
25.0,11480000,4,14,1,1,83,83
36.0,14500000,11,32,1,1,89,117
38.1,11000000,1,17,1,1,20,21
45.0,16300000,21,24,1,1,109,194
36.8,12900000,12,22,1,1,15,16
30.0,12900000,1,9,1,1,43,86
42.0,16500000,5,17,1,1,49,55
45.0,12500000,9,22,1,1,4,77
38.0,10250000,11,17,1,1,36,175
32.9,11200000,4,22,1,1,65,40
36.0,17000000,2,18,1,1,29,166
36.0,16900000,20,31,1,1,55,66
35.0,17100000,5,12,1,1,97,8
36.6,17200000,15,22,1,1,77,126
30.0,17500000,15,21,1,1,7,64
43.0,17400000,6,17,1,1,108,195
41.0,17499000,10,17,1,1,63,38
35.4,18000000,6,12,1,1,106,187
41.8,18000000,12,25,1,1,55,66
37.0,18000000,8,14,1,1,37,42
47.0,18000000,19,25,1,1,52,59
30.0,17900000,8,10,1,1,22,165
43.2,18000000,12,18,1,1,67,84
26.0,18600000,16,24,1,1,22,97
37.5,18500000,9,29,1,1,30,73
37.5,18500000,7,17,1,1,107,171
42.2,19000000,12,14,1,1,26,196
36.3,19990000,11,36,1,1,29,197
45.0,19950000,12,26,1,1,48,6
49.4,20000000,3,14,1,1,22,23
62.2,20000000,13,23,1,1,11,12
45.0,20500000,21,28,1,1,21,22
44.3,20500000,21,28,1,1,21,34
42.1,20800000,10,12,1,1,67,82
54.0,20800000,5,14,1,1,56,67
42.1,21000000,8,9,1,1,29,34
36.0,21500000,3,17,1,1,40,198
